pvm;station;prec;x;y;lake;sea;elev
20100701;2;25.5;184057;6640816;0;99;9
20100701;11;10.6;111393;6691950;0;31;11
20100701;19;20.2;205553;6675665;0;59;4
20100701;103;15.9;254896;6702765;0;13;6
20100701;118;23.3;234917;6711746;0;19;8
20100701;120;31;264700;6678073;0;14;13
20100701;202;33.4;289837;6639990;0;67;3
20100701;211;40.7;318161;6692041;33;0;69
20100701;213;41.6;322354;6710488;2;0;96
20100701;301;14.9;387191;6689621;0;0;51
20100701;304;49.4;385972;6672700;0;51;4
20100701;307;35;336665;6682242;31;0;37
20100701;319;16.6;367116;6678437;2;4;20
20100701;339;43.3;386996;6675771;0;38;26
20100701;422;21.4;423293;6695832;0;6;22
20100701;602;40.8;502678;6694316;0;89;17
20100701;1006;28.1;196829;6753620;7;26;6
20100701;1007;23.4;215144;6755597;0;0;21
20100701;1016;32.7;174421;6746680;0;97;4
20100701;1021;31.2;222297;6827265;4;1;9
20100701;1104;36.6;245375;6802235;5;0;37
20100701;1106;11.8;250558;6723964;0;0;39
20100701;1111;41.7;267644;6773025;4;0;70
20100701;1113;51.2;250815;6783869;30;0;46
20100701;1117;14.3;267477;6759737;0;0;82
20100701;1130;23.1;249691;6757271;1;0;53
20100701;1140;40.5;250443;6799855;12;0;38
20100701;1201;42;309526;6747156;2;0;104
20100701;1213;46.7;304395;6812443;13;0;99
20100701;1222;39.1;326666;6818988;20;0;85
20100701;1302;20.9;379692;6719801;0;0;86
20100701;1307;10.4;363652;6712444;14;0;100
20100701;1311;52.4;382673;6743047;0;0;102
20100701;1315;72.9;333496;6767433;0;0;129
20100701;1321;34.6;371163;6710372;30;0;111
20100701;1322;49.6;364343;6765313;27;0;87
20100701;1401;11.4;425866;6759341;0;0;78
20100701;1403;25.3;394122;6770383;9;0;125
20100701;1415;31.4;402840;6722322;0;0;79
20100701;1417;35.5;434981;6778666;15;0;104
20100701;1504;44.1;489652;6729012;10;0;33
20100701;1506;20.9;448916;6785441;16;0;92
20100701;1520;21.4;464907;6750453;0;0;80
20100701;1521;23.8;488144;6790807;14;0;90
20100701;1529;40.6;496814;6750595;0;0;99
20100701;1612;19.8;536923;6710327;0;31;5
20100701;1711;47.7;565254;6769799;2;0;103
20100701;1712;89.1;589813;6804980;20;0;95
20100701;1801;43.4;627597;6812209;1;0;75
20100701;2003;24;218666;6868892;0;4;39
20100701;2004;33.6;222460;6900400;1;0;54
20100701;2008;63.6;230151;6939931;0;0;60
20100701;2101;72.9;261271;6864540;12;0;124
20100701;2103;67.6;281440;6901690;0;0;160
20100701;2104;37.8;263635;6839345;19;0;69
20100701;2108;47.1;279455;6852197;0;0;124
20100701;2116;68.4;251657;6929718;0;0;97
20100701;2117;59.4;289214;6933552;0;0;100
20100701;2121;64.1;251296;6929521;0;0;93
20100701;2123;72.8;261285;6864527;12;0;122
20100701;2203;73.3;314615;6835610;5;0;155
20100701;2206;49.8;294892;6871581;23;0;118
20100701;2213;41.4;322280;6928977;1;0;120
20100701;2303;32;357220;6859971;8;0;153
20100701;2324;46.3;385043;6860481;15;0;144
20100701;2401;26.8;431531;6919710;2;0;139
20100701;2404;17.8;436749;6820280;23;0;92
20100701;2410;26;439638;6856372;17;0;85
20100701;2414;41.8;417914;6892444;11;0;125
20100701;2501;23;452442;6861086;0;0;146
20100701;2520;21.4;481252;6872128;35;0;105
20100701;2525;26.6;467927;6848274;6;0;122
20100701;2606;35.2;511767;6837954;5;0;107
20100701;2614;29.8;510148;6878004;26;0;103
20100701;2625;43.9;547047;6910413;39;0;83
20100701;2702;35.6;597331;6852839;59;0;94
20100701;2704;34.5;569316;6866381;21;0;110
20100701;2801;28;622030;6854301;40;0;78
20100701;2806;60;606855;6882061;30;0;95
20100701;2808;24.8;618592;6895088;46;0;90
20100701;2810;35.7;636284;6911638;1;0;90
20100701;2902;34.7;673877;6904899;1;0;90
20100701;2903;53.6;675897;6927449;5;0;115
20100701;3007;33.4;220702;6958433;0;0;35
20100701;3013;33.9;235355;6993056;0;0;15
20100701;3017;64.2;242553;6966006;0;0;73
20100701;3021;19.1;227899;7007847;0;26;15
20100701;3101;75.4;271062;6986610;4;0;26
20100701;3218;65.7;300516;7005133;0;0;40
20100701;3301;37.6;356847;6936863;14;0;157
20100701;3305;58.1;347175;6965319;27;0;160
20100701;3309;63.8;372546;7037787;1;0;153
20100701;3314;33.2;361715;6998456;0;0;170
20100701;3317;54.5;387110;6932963;3;0;227
20100701;3401;57.8;442348;6995259;42;0;132
20100701;3405;86.5;442105;6972208;10;0;107
20100701;3409;64.2;446416;7004701;8;0;115
20100701;3502;61.8;470782;6977006;7;0;120
20100701;3516;65.4;498951;7020694;0;0;189
20100701;3603;9.9;515760;7001640;43;0;90
20100701;3608;38.8;518496;7027714;7;0;89
20100701;3609;10;502405;6948209;16;0;103
20100701;3610;6.2;514254;6968945;9;0;145
20100701;3617;21;532203;6973781;12;0;87
20100701;3702;31.2;581831;6938750;32;0;100
20100701;3703;49;599659;6944452;10;0;113
20100701;3712;47.1;573762;7016684;9;0;115
20100701;3716;35.2;583071;7028789;16;0;166
20100701;3802;39.5;612261;7013420;1;0;116
20100701;3803;17.3;644532;6934931;40;0;85
20100701;3805;47.2;603987;6950129;3;0;100
20100701;3807;29;611449;6964821;4;0;95
20100701;3809;37.1;639171;7000703;2;0;165
20100701;3825;33.5;639802;6944179;50;0;81
20100701;3904;16.8;652541;7024989;11;0;98
20100701;3909;45.2;705279;6995694;0;0;231
20100701;3917;71.8;703753;7007866;0;0;235
20100701;3919;31.6;702817;6966177;44;0;155
20100701;4204;90.1;337128;7055912;4;0;70
20100701;4206;44.2;315141;7089470;2;26;9
20100701;4214;41.5;309468;7085467;0;23;6
20100701;4304;71.8;365907;7073531;2;0;90
20100701;4308;37.9;355280;7126166;3;5;20
20100701;4310;49.5;364778;7130478;0;0;40
20100701;4315;53.6;388899;7104590;1;0;76
20100701;4316;44.8;386499;7106520;1;0;75
20100701;4402;43.4;423339;7113803;13;0;112
20100701;4407;61.4;440331;7085425;1;0;120
20100701;4413;46.3;424078;7054334;0;0;140
20100701;4504;55.1;468878;7066935;0;0;110
20100701;4509;62.8;466144;7136833;2;0;91
20100701;4513;69.3;496356;7102723;0;0;216
20100701;4602;36.4;510850;7079330;0;0;207
20100701;4618;89.7;530822;7129657;52;0;128
20100701;4701;34.5;590527;7061236;16;0;115
20100701;4703;78.1;569858;7092795;15;0;153
20100701;4706;117;577596;7138811;14;0;196
20100701;4711;91.1;577812;7150337;0;0;268
20100701;4714;88.2;565217;7110128;42;0;161
20100701;4803;46;620808;7079823;5;0;258
20100701;4811;54.5;612931;7105274;0;0;227
20100701;4901;46.2;653183;7134021;37;0;197
20100701;5301;64.3;392937;7212572;2;52;8
20100701;5402;59.4;408820;7174609;5;0;48
20100701;5405;59.5;433962;7171109;0;0;47
20100701;5414;84.4;423048;7202522;2;31;10
20100701;5502;76.5;474551;7151934;0;0;115
20100701;5504;85.7;454515;7191289;14;0;57
20100701;5507;47.7;498292;7253023;3;0;121
20100701;5604;61.1;508922;7200417;14;0;132
20100701;5607;66.1;530310;7226523;24;0;135
20100701;5707;71.3;567682;7235939;5;0;251
20100701;5711;57.7;582573;7201935;7;0;223
20100701;5715;69.2;549139;7171630;0;0;282
20100701;5716;61.9;550456;7171435;0;0;341
20100701;5804;72.4;601777;7165169;1;0;220
20100701;5806;98;593949;7239572;1;0;289
20100701;6311;40.2;370776;7330614;7;0;63
20100701;6312;39.4;370984;7305766;11;18;8
20100701;6514;98.2;471270;7317473;0;0;161
20100701;6604;111.8;515234;7296533;7;0;162
20100701;6703;85.3;553190;7318047;46;0;262
20100701;6704;59.9;571570;7291212;20;0;248
20100701;6707;75.3;557416;7273037;12;0;203
20100701;6802;65.8;603447;7362754;6;0;160
20100701;6806;46.3;596821;7316348;1;0;270
20100701;6813;47.7;616530;7268757;29;0;225
20100701;7301;69.6;395545;7380877;9;0;92
20100701;7302;96.3;385047;7416102;25;0;135
20100701;7306;79.7;371811;7477312;1;0;171
20100701;7307;74.8;366390;7409306;4;0;84
20100701;7311;128.8;412278;7462080;1;0;192
20100701;7401;77.1;448131;7382689;0;0;195
20100701;7501;132.1;484068;7472300;9;0;179
20100701;7502;78.7;456131;7384837;23;0;106
20100701;7504;139.9;485906;7389637;8;0;170
20100701;7604;82.9;522143;7442647;10;0;155
20100701;7607;73.4;507072;7399694;1;0;208
20100701;7702;113.1;550676;7463743;7;0;180
20100701;7705;64;556764;7411064;0;0;260
20100701;7706;72;586334;7426712;0;0;197
20100701;7707;82.2;542413;7483960;19;0;220
20100701;7709;69.6;573491;7413849;9;0;215
20100701;7804;72.3;594295;7451211;2;0;213
20100701;8102;127.3;315494;7599837;4;0;320
20100701;8201;99.2;360902;7543137;17;0;254
20100701;8206;67;359793;7589788;21;0;290
20100701;8312;98.9;384579;7544505;0;0;347
20100701;8315;88.5;410976;7505585;7;0;181
20100701;8404;118.8;449471;7562301;1;0;275
20100701;8601;113.1;531440;7523154;39;0;240
20100701;8602;114.7;507730;7552285;9;0;247
20100701;8606;124.1;516966;7589198;0;0;302
20100701;8701;73.2;572488;7505533;2;0;209
20100701;8702;125.6;554066;7596100;4;0;185
20100701;8803;91.9;610315;7517108;0;0;370
20100701;9003;97.8;252581;7672367;45;0;480
20100701;9201;101;360645;7613973;21;0;370
20100701;9403;100.8;446272;7644913;6;0;203
20100701;9405;110.1;449245;7644063;7;0;285
20100701;9603;141.6;500288;7738706;14;0;107
20100701;9604;127.1;534083;7775269;6;0;22
20100701;9608;143.5;502854;7728372;8;0;110
20100701;9615;142.8;500563;7643867;16;0;128
20100701;9616;134.6;510557;7670095;13;0;156
20100701;9705;120.7;552332;7638136;24;0;123
20100701;9708;124.7;573855;7720352;36;0;103
